portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,840,Mean delay,116.040142
default,1,4,840,Mean jitter,0.112433
default,1,4,840,Rx Packets,6983
default,1,4,860,Tx Packets,15000
default,1,4,860,Tx Bytes,15420000
default,1,4,860,TxOffered,205.600000
default,1,4,860,Rx Bytes,7237120
default,1,4,860,Throughput,96.494933
default,1,4,860,Mean delay,118.230563
default,1,4,860,Mean jitter,0.111653
default,1,4,860,Rx Packets,7040
default,1,4,880,Tx Packets,15000
default,1,4,880,Tx Bytes,15420000
default,1,4,880,TxOffered,205.600000
default,1,4,880,Rx Bytes,7064416
default,1,4,880,Throughput,94.192213
default,1,4,880,Mean delay,125.564501
default,1,4,880,Mean jitter,0.113137
default,1,4,880,Rx Packets,6872
default,1,4,900,Tx Packets,15000
default,1,4,900,Tx Bytes,15420000
default,1,4,900,TxOffered,205.600000
default,1,4,900,Rx Bytes,6728260
default,1,4,900,Throughput,89.710133
default,1,4,900,Mean delay,122.311093
default,1,4,900,Mean jitter,0.116791
default,1,4,900,Rx Packets,6545
default,1,4,920,Tx Packets,15000
default,1,4,920,Tx Bytes,15420000
default,1,4,920,TxOffered,205.600000
default,1,4,920,Rx Bytes,6593592
default,1,4,920,Throughput,87.914560
default,1,4,920,Mean delay,125.532585
default,1,4,920,Mean jitter,0.119127
default,1,4,920,Rx Packets,6414
default,1,4,940,Tx Packets,15000
default,1,4,940,Tx Bytes,15420000
default,1,4,940,TxOffered,205.600000
default,1,4,940,Rx Bytes,6597704
default,1,4,940,Throughput,87.969387
default,1,4,940,Mean delay,174.563995
default,1,4,940,Mean jitter,0.120779
default,1,4,940,Rx Packets,6418
default,1,4,960,Tx Packets,15000
default,1,4,960,Tx Bytes,15420000
default,1,4,960,TxOffered,205.600000
default,1,4,960,Rx Bytes,6320144
default,1,4,960,Throughput,84.268587
default,1,4,960,Mean delay,174.016657
default,1,4,960,Mean jitter,0.124249
default,1,4,960,Rx Packets,6148
default,1,4,980,Tx Packets,15000
default,1,4,980,Tx Bytes,15420000
default,1,4,980,TxOffered,205.600000
default,1,4,980,Rx Bytes,6658356
default,1,4,980,Throughput,88.778080
default,1,4,980,Mean delay,179.909526
default,1,4,980,Mean jitter,0.121149
default,1,4,980,Rx Packets,6477
default,1,4,1000,Tx Packets,15000
default,1,4,1000,Tx Bytes,15420000
default,1,4,1000,TxOffered,205.600000
default,1,4,1000,Rx Bytes,6870124
default,1,4,1000,Throughput,91.601653
default,1,4,1000,Mean delay,183.969380
default,1,4,1000,Mean jitter,0.117486
default,1,4,1000,Rx Packets,6683
